movie_title,director_name,num_user_for_reviews,language,country,title_year,imdb_score,aspect_ratio,movie_facebook_likes,director_facebook_likes,actor_3_facebook_likes,actor_2_facebook_likes,actor_1_facebook_likes,actor_3_name,actor_2_name,actor_1_name,num_voted_users,cast_total_facebook_likes,budget
Avatar ,James Cameron,3054,English,USA,2009,7.9,1.78,33000,0,855,936,1000,Wes Studi,Joel David Moore,CCH Pounder,886204,4834,237000000
Pirates of the Caribbean: At World's End ,Gore Verbinski,1238,English,USA,2007,7.1,2.35,0,563,1000,5000,40000,Jack Davenport,Orlando Bloom,Johnny Depp,471220,48350,300000000
Spectre ,Sam Mendes,994,English,UK,2015,6.8,2.35,85000,0,161,393,11000,Stephanie Sigman,Rory Kinnear,Christoph Waltz,275868,11700,245000000
The Dark Knight Rises ,Christopher Nolan,2701,English,USA,2012,8.5,2.35,164000,22000,23000,23000,27000,Joseph Gordon-Levitt,Christian Bale,Tom Hardy,1144337,106759,250000000
Star Wars: Episode VII - The Force Awakens             ,Doug Walker,,,,,7.1,,0,131,,12,131,,Rob Walker,Doug Walker,8,143,
John Carter ,Andrew Stanton,738,English,USA,2012,6.6,2.35,24000,475,530,632,640,Polly Walker,Samantha Morton,Daryl Sabara,212204,1873,263700000
Spider-Man 3 ,Sam Raimi,1902,English,USA,2007,6.2,2.35,0,0,4000,11000,24000,Kirsten Dunst,James Franco,J.K. Simmons,383056,46055,258000000
Tangled ,Nathan Greno,387,English,USA,2010,7.8,1.85,29000,15,284,553,799,M.C. Gainey,Donna Murphy,Brad Garrett,294810,2036,260000000
Avengers: Age of Ultron ,Joss Whedon,1117,English,USA,2015,7.5,2.35,118000,0,19000,21000,26000,Scarlett Johansson,Robert Downey Jr.,Chris Hemsworth,462669,92000,250000000
Harry Potter and the Half-Blood Prince ,David Yates,973,English,UK,2009,7.5,2.35,10000,282,10000,11000,25000,Rupert Grint,Daniel Radcliffe,Alan Rickman,321795,58753,250000000
Batman v Superman: Dawn of Justice ,Zack Snyder,3018,English,USA,2016,6.9,2.35,197000,0,2000,4000,15000,Alan D. Purwin,Lauren Cohan,Henry Cavill,371639,24450,250000000
